Phase 5 Training Started: Sun Nov  9 19:45:33 2025
Model: EfficientNet-B3
Target: Beat 0.82 AUC

[1762697751] Epoch 1 | Batch 0/6541 | Loss 0.7906
[1762697838] Epoch 1 | Batch 100/6541 | Loss 0.1772
[1762697898] Epoch 1 | Batch 200/6541 | Loss 0.3069
[1762697943] Epoch 1 | Batch 300/6541 | Loss 0.1307
[1762697989] Epoch 1 | Batch 400/6541 | Loss 0.0586
[1762698033] Epoch 1 | Batch 500/6541 | Loss 0.7063
[1762698079] Epoch 1 | Batch 600/6541 | Loss 0.0998
[1762698123] Epoch 1 | Batch 700/6541 | Loss 0.0538
[1762698169] Epoch 1 | Batch 800/6541 | Loss 0.0775
[1762698215] Epoch 1 | Batch 900/6541 | Loss 0.1630
[1762698265] Epoch 1 | Batch 1000/6541 | Loss 0.1641
[1762698312] Epoch 1 | Batch 1100/6541 | Loss 0.2099
[1762698360] Epoch 1 | Batch 1200/6541 | Loss 0.5581
[1762698410] Epoch 1 | Batch 1300/6541 | Loss 0.2312
[1762698457] Epoch 1 | Batch 1400/6541 | Loss 0.0712
[1762698505] Epoch 1 | Batch 1500/6541 | Loss 0.2495
[1762698555] Epoch 1 | Batch 1600/6541 | Loss 0.0758
[1762698602] Epoch 1 | Batch 1700/6541 | Loss 0.0748
[1762698653] Epoch 1 | Batch 1800/6541 | Loss 0.0414
[1762698705] Epoch 1 | Batch 1900/6541 | Loss 0.0969
[1762698758] Epoch 1 | Batch 2000/6541 | Loss 0.0392
[1762698808] Epoch 1 | Batch 2100/6541 | Loss 0.0707
[1762698858] Epoch 1 | Batch 2200/6541 | Loss 0.0244
[1762698905] Epoch 1 | Batch 2300/6541 | Loss 0.1009
[1762698952] Epoch 1 | Batch 2400/6541 | Loss 0.0800
[1762698998] Epoch 1 | Batch 2500/6541 | Loss 0.0651
[1762699043] Epoch 1 | Batch 2600/6541 | Loss 0.2304
[1762699086] Epoch 1 | Batch 2700/6541 | Loss 0.0821
[1762699131] Epoch 1 | Batch 2800/6541 | Loss 0.2346
[1762699174] Epoch 1 | Batch 2900/6541 | Loss 0.0474
[1762699219] Epoch 1 | Batch 3000/6541 | Loss 0.1119
[1762699264] Epoch 1 | Batch 3100/6541 | Loss 0.1220
[1762699307] Epoch 1 | Batch 3200/6541 | Loss 0.0684
[1762699352] Epoch 1 | Batch 3300/6541 | Loss 0.0928
[1762699398] Epoch 1 | Batch 3400/6541 | Loss 0.0565
[1762699442] Epoch 1 | Batch 3500/6541 | Loss 0.0553
[1762699487] Epoch 1 | Batch 3600/6541 | Loss 0.0217
[1762699531] Epoch 1 | Batch 3700/6541 | Loss 0.0890
[1762699576] Epoch 1 | Batch 3800/6541 | Loss 0.1202
[1762699622] Epoch 1 | Batch 3900/6541 | Loss 0.1625
[1762699668] Epoch 1 | Batch 4000/6541 | Loss 0.1554
[1762699714] Epoch 1 | Batch 4100/6541 | Loss 0.0914
[1762699761] Epoch 1 | Batch 4200/6541 | Loss 0.0630
[1762699819] Epoch 1 | Batch 4300/6541 | Loss 0.1021
[1762699877] Epoch 1 | Batch 4400/6541 | Loss 0.1583
[1762699933] Epoch 1 | Batch 4500/6541 | Loss 0.0466
[1762699991] Epoch 1 | Batch 4600/6541 | Loss 0.0603
[1762700048] Epoch 1 | Batch 4700/6541 | Loss 0.0935
[1762700104] Epoch 1 | Batch 4800/6541 | Loss 0.0535
[1762700162] Epoch 1 | Batch 4900/6541 | Loss 0.0630
[1762700218] Epoch 1 | Batch 5000/6541 | Loss 0.0321
[1762700272] Epoch 1 | Batch 5100/6541 | Loss 0.0617
[1762700329] Epoch 1 | Batch 5200/6541 | Loss 0.1209
[1762700384] Epoch 1 | Batch 5300/6541 | Loss 0.1068
[1762700440] Epoch 1 | Batch 5400/6541 | Loss 0.0557
[1762700497] Epoch 1 | Batch 5500/6541 | Loss 0.0587
[1762700549] Epoch 1 | Batch 5600/6541 | Loss 0.0407
[1762700599] Epoch 1 | Batch 5700/6541 | Loss 0.1297
[1762700654] Epoch 1 | Batch 5800/6541 | Loss 0.0467
[1762700707] Epoch 1 | Batch 5900/6541 | Loss 0.1060
[1762700759] Epoch 1 | Batch 6000/6541 | Loss 0.1349
[1762700813] Epoch 1 | Batch 6100/6541 | Loss 0.4230
[1762700862] Epoch 1 | Batch 6200/6541 | Loss 0.1640
[1762700915] Epoch 1 | Batch 6300/6541 | Loss 0.0452
[1762700971] Epoch 1 | Batch 6400/6541 | Loss 0.0657
[1762701024] Epoch 1 | Batch 6500/6541 | Loss 0.0691
[1762701870] Epoch 1 | Train AUC: 0.6969 | Val AUC: 0.7205 | Best: 0.7205
[1762701871] Epoch 2 | Batch 0/6541 | Loss 0.2569
[1762701936] Epoch 2 | Batch 100/6541 | Loss 0.1082
[1762701998] Epoch 2 | Batch 200/6541 | Loss 0.7367
[1762702062] Epoch 2 | Batch 300/6541 | Loss 0.0570
[1762702123] Epoch 2 | Batch 400/6541 | Loss 0.0786
[1762702188] Epoch 2 | Batch 500/6541 | Loss 0.1327
[1762702251] Epoch 2 | Batch 600/6541 | Loss 0.0242
[1762702312] Epoch 2 | Batch 700/6541 | Loss 0.1051
[1762702374] Epoch 2 | Batch 800/6541 | Loss 0.0266
[1762702441] Epoch 2 | Batch 900/6541 | Loss 0.1373
[1762702509] Epoch 2 | Batch 1000/6541 | Loss 0.0538
[1762702576] Epoch 2 | Batch 1100/6541 | Loss 0.0910
[1762702642] Epoch 2 | Batch 1200/6541 | Loss 0.0659
[1762702707] Epoch 2 | Batch 1300/6541 | Loss 0.0717
[1762702768] Epoch 2 | Batch 1400/6541 | Loss 0.0270
[1762702830] Epoch 2 | Batch 1500/6541 | Loss 0.0854
[1762702897] Epoch 2 | Batch 1600/6541 | Loss 0.0474
[1762702958] Epoch 2 | Batch 1700/6541 | Loss 0.1097
[1762703019] Epoch 2 | Batch 1800/6541 | Loss 0.0911
[1762703079] Epoch 2 | Batch 1900/6541 | Loss 0.0234
[1762703137] Epoch 2 | Batch 2000/6541 | Loss 0.0487
[1762703192] Epoch 2 | Batch 2100/6541 | Loss 0.0534
[1762703253] Epoch 2 | Batch 2200/6541 | Loss 0.1007
[1762703313] Epoch 2 | Batch 2300/6541 | Loss 0.0797
[1762703373] Epoch 2 | Batch 2400/6541 | Loss 0.0495
[1762703429] Epoch 2 | Batch 2500/6541 | Loss 0.0850
[1762703485] Epoch 2 | Batch 2600/6541 | Loss 0.0712
[1762703539] Epoch 2 | Batch 2700/6541 | Loss 0.1304
[1762703595] Epoch 2 | Batch 2800/6541 | Loss 0.0833
[1762703650] Epoch 2 | Batch 2900/6541 | Loss 0.0910
[1762703705] Epoch 2 | Batch 3000/6541 | Loss 0.0607
[1762703761] Epoch 2 | Batch 3100/6541 | Loss 0.0743
[1762703818] Epoch 2 | Batch 3200/6541 | Loss 0.0729
[1762703890] Epoch 2 | Batch 3300/6541 | Loss 0.1037
[1762703981] Epoch 2 | Batch 3400/6541 | Loss 0.1254
[1762704062] Epoch 2 | Batch 3500/6541 | Loss 0.1337
[1762704155] Epoch 2 | Batch 3600/6541 | Loss 0.0691
[1762704295] Epoch 2 | Batch 3700/6541 | Loss 0.0823
[1762704378] Epoch 2 | Batch 3800/6541 | Loss 0.0247
[1762704485] Epoch 2 | Batch 3900/6541 | Loss 0.0541
[1762704568] Epoch 2 | Batch 4000/6541 | Loss 0.1649
[1762704688] Epoch 2 | Batch 4100/6541 | Loss 0.1585
[1762704812] Epoch 2 | Batch 4200/6541 | Loss 0.0341
[1762704927] Epoch 2 | Batch 4300/6541 | Loss 0.0380
[1762705054] Epoch 2 | Batch 4400/6541 | Loss 0.0243
[1762705160] Epoch 2 | Batch 4500/6541 | Loss 0.3041
[1762705284] Epoch 2 | Batch 4600/6541 | Loss 0.0349
[1762705378] Epoch 2 | Batch 4700/6541 | Loss 0.0172
[1762705513] Epoch 2 | Batch 4800/6541 | Loss 0.0474
[1762705570] Epoch 2 | Batch 4900/6541 | Loss 0.1266
[1762705625] Epoch 2 | Batch 5000/6541 | Loss 0.0708
[1762705680] Epoch 2 | Batch 5100/6541 | Loss 0.0721
[1762705730] Epoch 2 | Batch 5200/6541 | Loss 0.1300
[1762705780] Epoch 2 | Batch 5300/6541 | Loss 0.0862
[1762705831] Epoch 2 | Batch 5400/6541 | Loss 0.0774
[1762705883] Epoch 2 | Batch 5500/6541 | Loss 0.0946
[1762705936] Epoch 2 | Batch 5600/6541 | Loss 0.0242
[1762705988] Epoch 2 | Batch 5700/6541 | Loss 0.1000
[1762706042] Epoch 2 | Batch 5800/6541 | Loss 0.0279
[1762706095] Epoch 2 | Batch 5900/6541 | Loss 0.0318
[1762706147] Epoch 2 | Batch 6000/6541 | Loss 0.0621
[1762706200] Epoch 2 | Batch 6100/6541 | Loss 0.0644
[1762706251] Epoch 2 | Batch 6200/6541 | Loss 0.0498
[1762706302] Epoch 2 | Batch 6300/6541 | Loss 0.0454
[1762706354] Epoch 2 | Batch 6400/6541 | Loss 0.0225
[1762706405] Epoch 2 | Batch 6500/6541 | Loss 0.0800
[1762707277] Epoch 2 | Train AUC: 0.7764 | Val AUC: 0.7605 | Best: 0.7605
[1762707277] Epoch 3 | Batch 0/6541 | Loss 0.0520
[1762707339] Epoch 3 | Batch 100/6541 | Loss 0.0451
[1762707398] Epoch 3 | Batch 200/6541 | Loss 0.1034
[1762707459] Epoch 3 | Batch 300/6541 | Loss 0.0734
[1762707519] Epoch 3 | Batch 400/6541 | Loss 0.0598
[1762707580] Epoch 3 | Batch 500/6541 | Loss 0.0418
[1762707640] Epoch 3 | Batch 600/6541 | Loss 0.1089
[1762707701] Epoch 3 | Batch 700/6541 | Loss 0.0674
[1762707759] Epoch 3 | Batch 800/6541 | Loss 0.0777
[1762707818] Epoch 3 | Batch 900/6541 | Loss 0.1108
[1762707882] Epoch 3 | Batch 1000/6541 | Loss 0.0602
[1762707939] Epoch 3 | Batch 1100/6541 | Loss 0.0220
[1762707996] Epoch 3 | Batch 1200/6541 | Loss 0.0509
[1762708053] Epoch 3 | Batch 1300/6541 | Loss 0.0419
[1762708110] Epoch 3 | Batch 1400/6541 | Loss 0.0308
[1762708165] Epoch 3 | Batch 1500/6541 | Loss 0.0947
[1762708221] Epoch 3 | Batch 1600/6541 | Loss 0.0661
[1762708275] Epoch 3 | Batch 1700/6541 | Loss 0.0567
[1762708330] Epoch 3 | Batch 1800/6541 | Loss 0.0809
[1762708381] Epoch 3 | Batch 1900/6541 | Loss 0.0449
[1762708435] Epoch 3 | Batch 2000/6541 | Loss 0.0164
[1762708488] Epoch 3 | Batch 2100/6541 | Loss 0.0945
[1762708542] Epoch 3 | Batch 2200/6541 | Loss 0.0735
[1762708595] Epoch 3 | Batch 2300/6541 | Loss 0.1307
[1762708646] Epoch 3 | Batch 2400/6541 | Loss 0.0420
[1762708700] Epoch 3 | Batch 2500/6541 | Loss 0.0557
[1762708747] Epoch 3 | Batch 2600/6541 | Loss 0.0587
[1762708804] Epoch 3 | Batch 2700/6541 | Loss 0.0786
[1762708865] Epoch 3 | Batch 2800/6541 | Loss 0.0218
[1762708926] Epoch 3 | Batch 2900/6541 | Loss 0.1597
[1762708989] Epoch 3 | Batch 3000/6541 | Loss 0.0435
[1762709053] Epoch 3 | Batch 3100/6541 | Loss 0.0294
[1762709116] Epoch 3 | Batch 3200/6541 | Loss 0.1090
[1762709176] Epoch 3 | Batch 3300/6541 | Loss 0.0532
[1762709239] Epoch 3 | Batch 3400/6541 | Loss 0.0575
[1762709297] Epoch 3 | Batch 3500/6541 | Loss 0.0489
[1762709359] Epoch 3 | Batch 3600/6541 | Loss 0.0506
[1762709422] Epoch 3 | Batch 3700/6541 | Loss 0.0732
[1762709480] Epoch 3 | Batch 3800/6541 | Loss 0.0380
[1762709535] Epoch 3 | Batch 3900/6541 | Loss 0.0398
[1762709597] Epoch 3 | Batch 4000/6541 | Loss 0.1137
[1762709654] Epoch 3 | Batch 4100/6541 | Loss 0.0295
[1762709711] Epoch 3 | Batch 4200/6541 | Loss 0.0870
[1762709767] Epoch 3 | Batch 4300/6541 | Loss 0.0766
[1762709826] Epoch 3 | Batch 4400/6541 | Loss 0.1503
[1762709881] Epoch 3 | Batch 4500/6541 | Loss 0.1129
[1762709940] Epoch 3 | Batch 4600/6541 | Loss 0.0370
[1762710002] Epoch 3 | Batch 4700/6541 | Loss 0.0561
[1762710064] Epoch 3 | Batch 4800/6541 | Loss 0.1220
[1762710128] Epoch 3 | Batch 4900/6541 | Loss 0.0478
[1762710186] Epoch 3 | Batch 5000/6541 | Loss 0.1102
[1762710245] Epoch 3 | Batch 5100/6541 | Loss 0.0564
[1762710302] Epoch 3 | Batch 5200/6541 | Loss 0.0989
[1762710358] Epoch 3 | Batch 5300/6541 | Loss 0.0362
[1762710414] Epoch 3 | Batch 5400/6541 | Loss 0.0361
[1762710470] Epoch 3 | Batch 5500/6541 | Loss 0.0346
[1762710525] Epoch 3 | Batch 5600/6541 | Loss 0.0419
[1762710580] Epoch 3 | Batch 5700/6541 | Loss 0.0827
[1762710636] Epoch 3 | Batch 5800/6541 | Loss 0.2097
[1762710693] Epoch 3 | Batch 5900/6541 | Loss 0.1025
[1762710747] Epoch 3 | Batch 6000/6541 | Loss 0.0764
[1762710808] Epoch 3 | Batch 6100/6541 | Loss 0.0388
[1762710866] Epoch 3 | Batch 6200/6541 | Loss 0.1426
[1762710921] Epoch 3 | Batch 6300/6541 | Loss 0.0453
[1762710978] Epoch 3 | Batch 6400/6541 | Loss 0.0609
[1762711040] Epoch 3 | Batch 6500/6541 | Loss 0.0684
[1762711982] Epoch 3 | Train AUC: 0.8104 | Val AUC: 0.7767 | Best: 0.7767
[1762711982] Epoch 4 | Batch 0/6541 | Loss 0.0449
[1762712052] Epoch 4 | Batch 100/6541 | Loss 0.0775
[1762712125] Epoch 4 | Batch 200/6541 | Loss 0.0223
[1762712198] Epoch 4 | Batch 300/6541 | Loss 0.0759
[1762712265] Epoch 4 | Batch 400/6541 | Loss 0.1002
[1762712332] Epoch 4 | Batch 500/6541 | Loss 0.0836
[1762712399] Epoch 4 | Batch 600/6541 | Loss 0.0417
[1762712462] Epoch 4 | Batch 700/6541 | Loss 0.0811
[1762712526] Epoch 4 | Batch 800/6541 | Loss 0.0667
[1762712588] Epoch 4 | Batch 900/6541 | Loss 0.0601
[1762712651] Epoch 4 | Batch 1000/6541 | Loss 0.0467
