Phase 6 ViT Training Started: Mon Nov 10 12:50:48 2025
Model: Vision Transformer Base/16
Target: Ensemble AUC 0.82-0.83

[1762759250] Epoch 1 | Batch 0/7849 | Loss 0.8395
[1762759294] Epoch 1 | Batch 100/7849 | Loss 0.0400
[1762759336] Epoch 1 | Batch 200/7849 | Loss 0.1605
[1762759378] Epoch 1 | Batch 300/7849 | Loss 0.1205
[1762759419] Epoch 1 | Batch 400/7849 | Loss 0.0664
[1762759463] Epoch 1 | Batch 500/7849 | Loss 0.3834
[1762759506] Epoch 1 | Batch 600/7849 | Loss 0.0461
[1762759549] Epoch 1 | Batch 700/7849 | Loss 0.0391
[1762759592] Epoch 1 | Batch 800/7849 | Loss 0.4025
[1762759638] Epoch 1 | Batch 900/7849 | Loss 0.0978
[1762759684] Epoch 1 | Batch 1000/7849 | Loss 0.0303
[1762759727] Epoch 1 | Batch 1100/7849 | Loss 0.0366
[1762759771] Epoch 1 | Batch 1200/7849 | Loss 0.0690
[1762759815] Epoch 1 | Batch 1300/7849 | Loss 0.0718
[1762759859] Epoch 1 | Batch 1400/7849 | Loss 0.0109
[1762759905] Epoch 1 | Batch 1500/7849 | Loss 0.0952
[1762759950] Epoch 1 | Batch 1600/7849 | Loss 0.1006
[1762759993] Epoch 1 | Batch 1700/7849 | Loss 0.0505
[1762760037] Epoch 1 | Batch 1800/7849 | Loss 0.0576
[1762760082] Epoch 1 | Batch 1900/7849 | Loss 0.0657
[1762760128] Epoch 1 | Batch 2000/7849 | Loss 0.0607
[1762760187] Epoch 1 | Batch 2100/7849 | Loss 0.1375
[1762760245] Epoch 1 | Batch 2200/7849 | Loss 0.0076
[1762760304] Epoch 1 | Batch 2300/7849 | Loss 0.1183
[1762760359] Epoch 1 | Batch 2400/7849 | Loss 0.0848
[1762760415] Epoch 1 | Batch 2500/7849 | Loss 0.4003
[1762760470] Epoch 1 | Batch 2600/7849 | Loss 0.1022
[1762760524] Epoch 1 | Batch 2700/7849 | Loss 0.0563
