Phase 7 Ultimate Training Started: Fri Nov 14 22:57:21 2025
Architecture: DINOv2 + Anatomical + Multi-Modal
Target: 0.84-0.86 AUC

[1763141248] Epoch 1 | Batch 0/7849 | Loss 0.7652
[1763141348] Epoch 1 | Batch 100/7849 | Loss 0.2981
[1763141465] Epoch 1 | Batch 200/7849 | Loss 0.1618
[1763141589] Epoch 1 | Batch 300/7849 | Loss 0.1986
[1763141703] Epoch 1 | Batch 400/7849 | Loss 0.1528
[1763141914] Epoch 1 | Batch 500/7849 | Loss 0.1218
[1763141972] Epoch 1 | Batch 600/7849 | Loss 0.1121
[1763142041] Epoch 1 | Batch 700/7849 | Loss 0.1384
[1763142107] Epoch 1 | Batch 800/7849 | Loss 0.1435
[1763142162] Epoch 1 | Batch 900/7849 | Loss 0.1294
[1763142221] Epoch 1 | Batch 1000/7849 | Loss 0.0889
[1763142279] Epoch 1 | Batch 1100/7849 | Loss 0.1446
[1763142335] Epoch 1 | Batch 1200/7849 | Loss 0.0835
[1763142392] Epoch 1 | Batch 1300/7849 | Loss 0.1545
[1763142447] Epoch 1 | Batch 1400/7849 | Loss 0.1285
[1763142502] Epoch 1 | Batch 1500/7849 | Loss 0.1723
[1763142556] Epoch 1 | Batch 1600/7849 | Loss 0.5443
[1763142612] Epoch 1 | Batch 1700/7849 | Loss 0.1237
[1763142665] Epoch 1 | Batch 1800/7849 | Loss 0.1905
[1763142722] Epoch 1 | Batch 1900/7849 | Loss 0.0687
[1763142778] Epoch 1 | Batch 2000/7849 | Loss 0.0820
[1763142833] Epoch 1 | Batch 2100/7849 | Loss 0.1385
[1763142881] Epoch 1 | Batch 2200/7849 | Loss 0.4943
[1763142935] Epoch 1 | Batch 2300/7849 | Loss 0.1046
[1763142989] Epoch 1 | Batch 2400/7849 | Loss 0.1466
[1763143044] Epoch 1 | Batch 2500/7849 | Loss 0.0977
[1763143096] Epoch 1 | Batch 2600/7849 | Loss 0.4347
[1763143149] Epoch 1 | Batch 2700/7849 | Loss 0.1000
[1763143200] Epoch 1 | Batch 2800/7849 | Loss 0.1323
[1763143255] Epoch 1 | Batch 2900/7849 | Loss 0.4488
[1763143310] Epoch 1 | Batch 3000/7849 | Loss 0.1060
[1763143365] Epoch 1 | Batch 3100/7849 | Loss 0.4408
[1763143417] Epoch 1 | Batch 3200/7849 | Loss 0.0734
[1763143471] Epoch 1 | Batch 3300/7849 | Loss 0.1034
[1763143524] Epoch 1 | Batch 3400/7849 | Loss 0.0835
[1763143580] Epoch 1 | Batch 3500/7849 | Loss 0.0594
[1763143637] Epoch 1 | Batch 3600/7849 | Loss 0.5557
[1763143693] Epoch 1 | Batch 3700/7849 | Loss 0.5313
[1763143752] Epoch 1 | Batch 3800/7849 | Loss 0.0995
[1763143811] Epoch 1 | Batch 3900/7849 | Loss 0.0786
[1763143864] Epoch 1 | Batch 4000/7849 | Loss 0.1927
[1763143917] Epoch 1 | Batch 4100/7849 | Loss 0.1037
[1763143976] Epoch 1 | Batch 4200/7849 | Loss 0.0827
[1763144034] Epoch 1 | Batch 4300/7849 | Loss 0.0764
[1763144091] Epoch 1 | Batch 4400/7849 | Loss 0.0512
[1763144142] Epoch 1 | Batch 4500/7849 | Loss 0.0629
[1763144196] Epoch 1 | Batch 4600/7849 | Loss 0.0623
[1763144250] Epoch 1 | Batch 4700/7849 | Loss 0.1290
[1763144304] Epoch 1 | Batch 4800/7849 | Loss 0.4482
[1763144359] Epoch 1 | Batch 4900/7849 | Loss 0.1271
[1763144412] Epoch 1 | Batch 5000/7849 | Loss 0.0870
[1763144467] Epoch 1 | Batch 5100/7849 | Loss 0.4798
[1763144519] Epoch 1 | Batch 5200/7849 | Loss 0.1028
[1763144573] Epoch 1 | Batch 5300/7849 | Loss 0.0958
[1763144629] Epoch 1 | Batch 5400/7849 | Loss 0.1433
[1763144683] Epoch 1 | Batch 5500/7849 | Loss 0.3564
[1763144734] Epoch 1 | Batch 5600/7849 | Loss 0.1215
[1763144782] Epoch 1 | Batch 5700/7849 | Loss 0.0939
[1763144837] Epoch 1 | Batch 5800/7849 | Loss 0.1092
[1763144888] Epoch 1 | Batch 5900/7849 | Loss 0.1756
[1763144943] Epoch 1 | Batch 6000/7849 | Loss 0.5548
[1763144996] Epoch 1 | Batch 6100/7849 | Loss 0.0564
[1763145048] Epoch 1 | Batch 6200/7849 | Loss 0.2812
[1763145102] Epoch 1 | Batch 6300/7849 | Loss 0.1804
[1763145155] Epoch 1 | Batch 6400/7849 | Loss 0.0823
[1763145209] Epoch 1 | Batch 6500/7849 | Loss 0.0790
[1763145262] Epoch 1 | Batch 6600/7849 | Loss 0.1328
[1763145317] Epoch 1 | Batch 6700/7849 | Loss 0.0990
[1763145371] Epoch 1 | Batch 6800/7849 | Loss 0.1618
[1763145431] Epoch 1 | Batch 6900/7849 | Loss 0.1384
[1763145485] Epoch 1 | Batch 7000/7849 | Loss 0.1817
[1763145545] Epoch 1 | Batch 7100/7849 | Loss 0.4081
[1763145603] Epoch 1 | Batch 7200/7849 | Loss 0.2352
[1763145657] Epoch 1 | Batch 7300/7849 | Loss 0.0874
[1763145710] Epoch 1 | Batch 7400/7849 | Loss 0.2020
[1763145762] Epoch 1 | Batch 7500/7849 | Loss 0.1318
[1763145813] Epoch 1 | Batch 7600/7849 | Loss 0.1495
[1763145867] Epoch 1 | Batch 7700/7849 | Loss 0.0898
[1763145921] Epoch 1 | Batch 7800/7849 | Loss 0.0629
[1763146941] Epoch 1 | Train AUC: 0.5826 | Val AUC: 0.7097 | Best: 0.7097
[1763146942] Epoch 2 | Batch 0/7849 | Loss 0.6815
[1763147001] Epoch 2 | Batch 100/7849 | Loss 0.1645
[1763147060] Epoch 2 | Batch 200/7849 | Loss 0.0933
[1763147118] Epoch 2 | Batch 300/7849 | Loss 0.0585
[1763147176] Epoch 2 | Batch 400/7849 | Loss 0.1999
[1763147233] Epoch 2 | Batch 500/7849 | Loss 0.3815
[1763147292] Epoch 2 | Batch 600/7849 | Loss 0.0612
[1763147353] Epoch 2 | Batch 700/7849 | Loss 0.0892
[1763147412] Epoch 2 | Batch 800/7849 | Loss 0.0847
[1763147469] Epoch 2 | Batch 900/7849 | Loss 0.1144
