Training started at Fri Nov  7 23:59:01 2025
[1762540151] Epoch 1 | Batch 0/4906 | Loss 0.8193
[1762540257] Epoch 1 | Batch 100/4906 | Loss 0.1523
[1762540376] Epoch 1 | Batch 200/4906 | Loss 0.1189
[1762540462] Epoch 1 | Batch 300/4906 | Loss 0.1219
[1762540528] Epoch 1 | Batch 400/4906 | Loss 0.1480
[1762540591] Epoch 1 | Batch 500/4906 | Loss 0.0343
[1762540647] Epoch 1 | Batch 600/4906 | Loss 0.0882
[1762540702] Epoch 1 | Batch 700/4906 | Loss 0.0632
[1762540755] Epoch 1 | Batch 800/4906 | Loss 0.1235
[1762540809] Epoch 1 | Batch 900/4906 | Loss 0.1568
[1762540865] Epoch 1 | Batch 1000/4906 | Loss 0.1816
[1762540921] Epoch 1 | Batch 1100/4906 | Loss 0.1413
[1762540980] Epoch 1 | Batch 1200/4906 | Loss 0.1153
[1762541037] Epoch 1 | Batch 1300/4906 | Loss 0.1026
[1762541094] Epoch 1 | Batch 1400/4906 | Loss 0.1164
[1762541146] Epoch 1 | Batch 1500/4906 | Loss 0.0654
[1762541203] Epoch 1 | Batch 1600/4906 | Loss 0.1501
[1762541262] Epoch 1 | Batch 1700/4906 | Loss 0.1011
[1762541316] Epoch 1 | Batch 1800/4906 | Loss 0.1399
[1762541368] Epoch 1 | Batch 1900/4906 | Loss 0.0637
[1762541419] Epoch 1 | Batch 2000/4906 | Loss 0.1577
[1762541470] Epoch 1 | Batch 2100/4906 | Loss 0.0826
[1762541521] Epoch 1 | Batch 2200/4906 | Loss 0.0586
[1762541573] Epoch 1 | Batch 2300/4906 | Loss 0.0690
[1762541627] Epoch 1 | Batch 2400/4906 | Loss 0.0599
[1762541678] Epoch 1 | Batch 2500/4906 | Loss 0.0543
[1762541730] Epoch 1 | Batch 2600/4906 | Loss 0.0779
[1762541781] Epoch 1 | Batch 2700/4906 | Loss 0.0956
[1762541832] Epoch 1 | Batch 2800/4906 | Loss 0.0640
[1762541885] Epoch 1 | Batch 2900/4906 | Loss 0.0658
[1762541938] Epoch 1 | Batch 3000/4906 | Loss 0.0579
[1762541990] Epoch 1 | Batch 3100/4906 | Loss 0.0526
[1762542043] Epoch 1 | Batch 3200/4906 | Loss 0.0269
[1762542095] Epoch 1 | Batch 3300/4906 | Loss 0.0989
[1762542147] Epoch 1 | Batch 3400/4906 | Loss 0.0940
[1762542198] Epoch 1 | Batch 3500/4906 | Loss 0.0866
[1762542250] Epoch 1 | Batch 3600/4906 | Loss 0.1763
[1762542303] Epoch 1 | Batch 3700/4906 | Loss 0.1084
[1762542354] Epoch 1 | Batch 3800/4906 | Loss 0.0402
[1762542405] Epoch 1 | Batch 3900/4906 | Loss 0.0776
